Symbol,Date,Open,High,Low,Close,Volume,MarketState
GBPUSD,1995.01.02,1.56370,1.56750,1.55500,1.55870,2001,UNKNOWN
GBPUSD,1995.01.03,1.55830,1.56650,1.55830,1.56330,1141,UNKNOWN
GBPUSD,1995.01.04,1.56310,1.56530,1.55750,1.56010,1261,UNKNOWN
GBPUSD,1995.01.05,1.55900,1.56600,1.55800,1.56290,1211,UNKNOWN
GBPUSD,1995.01.06,1.56180,1.56650,1.54750,1.55000,2621,UNKNOWN
GBPUSD,1995.01.09,1.55100,1.56610,1.55030,1.56260,2001,UNKNOWN
GBPUSD,1995.01.10,1.56220,1.56580,1.55500,1.56020,1961,UNKNOWN
GBPUSD,1995.01.11,1.56040,1.56470,1.55570,1.56050,1791,UNKNOWN
GBPUSD,1995.01.12,1.55900,1.57650,1.55660,1.57350,2531,UNKNOWN
GBPUSD,1995.01.13,1.57350,1.57520,1.56450,1.57050,1841,UNKNOWN
GBPUSD,1995.01.16,1.56850,1.57210,1.56650,1.56840,1111,UNKNOWN
GBPUSD,1995.01.17,1.56780,1.57050,1.56090,1.56640,1781,UNKNOWN
GBPUSD,1995.01.18,1.56600,1.57700,1.56540,1.56960,1961,UNKNOWN
GBPUSD,1995.01.19,1.56890,1.59100,1.56690,1.58870,2841,UNKNOWN
GBPUSD,1995.01.20,1.58810,1.59220,1.58280,1.58860,1831,UNKNOWN
GBPUSD,1995.01.23,1.58620,1.59830,1.58400,1.59450,2031,UNKNOWN
GBPUSD,1995.01.24,1.59410,1.60360,1.59280,1.59910,1661,UNKNOWN
GBPUSD,1995.01.25,1.59840,1.60290,1.58800,1.59250,2391,UNKNOWN
GBPUSD,1995.01.26,1.59280,1.59580,1.58720,1.59100,1541,UNKNOWN
GBPUSD,1995.01.27,1.58900,1.59500,1.58400,1.58950,2151,UNKNOWN
GBPUSD,1995.01.30,1.58800,1.59880,1.58600,1.59550,1811,UNKNOWN
GBPUSD,1995.01.31,1.59550,1.59800,1.57800,1.58000,2451,UNKNOWN
GBPUSD,1995.02.01,1.58050,1.58400,1.57650,1.58320,1231,UNKNOWN
GBPUSD,1995.02.02,1.58300,1.58650,1.57770,1.58200,1661,UNKNOWN
GBPUSD,1995.02.03,1.58050,1.58350,1.55950,1.56400,3151,UNKNOWN
GBPUSD,1995.02.06,1.56050,1.56430,1.55440,1.56100,1931,UNKNOWN
GBPUSD,1995.02.07,1.56040,1.56270,1.55400,1.55560,1261,UNKNOWN
