Symbol,Date,Open,High,Low,Close,Volume,MarketState
USDJPY,1995.01.02,99.60000,100.55000,99.57000,100.32000,1241,UNKNOWN
USDJPY,1995.01.03,100.26000,100.84000,100.00000,100.69000,1251,UNKNOWN
USDJPY,1995.01.04,100.61000,101.54000,100.60000,101.40000,1091,UNKNOWN
USDJPY,1995.01.05,101.38000,101.44000,100.80000,100.90000,801,UNKNOWN
USDJPY,1995.01.06,100.90000,101.48000,100.85000,101.45000,711,UNKNOWN
USDJPY,1995.01.09,101.25000,101.35000,99.65000,100.07000,2221,UNKNOWN
USDJPY,1995.01.10,100.00000,100.55000,99.88000,100.10000,1241,UNKNOWN
USDJPY,1995.01.11,100.03000,100.25000,99.45000,100.10000,1531,UNKNOWN
USDJPY,1995.01.12,100.05000,100.23000,98.55000,98.63000,1941,UNKNOWN
USDJPY,1995.01.13,98.55000,99.16000,98.25000,98.50000,1771,UNKNOWN
USDJPY,1995.01.16,98.39000,98.90000,97.97000,98.50000,1751,UNKNOWN
USDJPY,1995.01.17,98.43000,99.35000,98.40000,99.17000,1161,UNKNOWN
USDJPY,1995.01.18,99.00000,99.87000,98.75000,99.58000,1661,UNKNOWN
USDJPY,1995.01.19,99.52000,100.13000,98.60000,99.10000,2641,UNKNOWN
USDJPY,1995.01.20,99.04000,99.70000,98.94000,99.59000,971,UNKNOWN
USDJPY,1995.01.23,99.40000,100.30000,99.30000,99.82000,1581,UNKNOWN
USDJPY,1995.01.24,99.79000,99.95000,99.12000,99.66000,1531,UNKNOWN
USDJPY,1995.01.25,99.60000,99.87000,99.16000,99.54000,1361,UNKNOWN
USDJPY,1995.01.26,99.44000,99.78000,99.15000,99.45000,1251,UNKNOWN
USDJPY,1995.01.27,99.40000,99.68000,99.00000,99.45000,1311,UNKNOWN
USDJPY,1995.01.30,99.30000,99.40000,98.10000,98.43000,1731,UNKNOWN
USDJPY,1995.01.31,98.45000,99.80000,98.35000,99.60000,1751,UNKNOWN
USDJPY,1995.02.01,99.43000,99.73000,99.05000,99.25000,1181,UNKNOWN
USDJPY,1995.02.02,99.10000,99.80000,99.00000,99.47000,1231,UNKNOWN
USDJPY,1995.02.03,99.45000,100.01000,99.20000,99.90000,1171,UNKNOWN
USDJPY,1995.02.06,99.65000,99.80000,99.05000,99.39000,1241,UNKNOWN
USDJPY,1995.02.07,99.34000,99.53000,99.03000,99.53000,811,UNKNOWN
USDJPY,1995.02.08,99.42000,99.56000,98.65000,98.86000,1261,UNKNOWN
USDJPY,1995.02.09,98.85000,99.10000,98.60000,98.95000,901,UNKNOWN
USDJPY,1995.02.10,98.85000,99.45000,98.60000,98.94000,1611,UNKNOWN
USDJPY,1995.02.13,98.75000,98.98000,98.45000,98.72000,1031,UNKNOWN
USDJPY,1995.02.14,98.66000,99.12000,98.35000,98.51000,1391,UNKNOWN
USDJPY,1995.02.15,98.45000,98.78000,98.11000,98.36000,1251,UNKNOWN
USDJPY,1995.02.16,98.28000,98.45000,97.18000,97.55000,1811,UNKNOWN
USDJPY,1995.02.17,97.46000,97.75000,96.90000,97.27000,1511,UNKNOWN
USDJPY,1995.02.20,97.11000,97.40000,96.69000,97.30000,1231,UNKNOWN
USDJPY,1995.02.21,97.24000,97.70000,96.87000,97.11000,1531,UNKNOWN
USDJPY,1995.02.22,97.02000,97.48000,96.70000,97.09000,1491,UNKNOWN
